"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","3.8","0.0","12/08/2024"
"015010","AL","0.0","0.0","12/08/2024"
"015012","AL","31.3","1.2","12/08/2024"
"015014","AL","Not Available","Not Available","12/08/2024"
"015015","AL","64.1","0.0","12/08/2024"
"015016","AL","0.0","Not Available","12/08/2024"
"015019","AL","46.8","10.8","12/08/2024"
"015023","AL","30.1","0.0","12/08/2024"
"015024","AL","0.0","0.0","12/08/2024"
"015027","AL","0.0","Not Available","12/08/2024"
"015028","AL","8.3","0.0","12/08/2024"
"015031","AL","24.8","0.2","12/08/2024"
"015032","AL","43.9","1.4","12/08/2024"
"015034","AL","0.0","Not Available","12/08/2024"
"015035","AL","45.5","0.0","12/08/2024"
"015040","AL","33.6","0.0","12/08/2024"
"015042","AL","0.0","Not Available","12/08/2024"
"015044","AL","0.0","3.7","12/08/2024"
"015045","AL","91.9","0.7","12/08/2024"
"015047","AL","0.0","Not Available","12/08/2024"
"015048","AL","48.9","Not Available","12/08/2024"
"015049","AL","0.0","0.0","12/08/2024"
"015050","AL","0.0","0.0","12/08/2024"
"015053","AL","44.3","1.7","12/08/2024"
"015060","AL","0.0","82.9","12/08/2024"
"015063","AL","0.0","0.0","12/08/2024"
"015065","AL","0.0","Not Available","12/08/2024"
"015066","AL","0.0","0.0","12/08/2024"
"015067","AL","22.4","1.1","12/08/2024"
"015071","AL","40.4","1.2","12/08/2024"
"015073","AL","55.6","11.3","12/08/2024"
"015075","AL","15.6","0.0","12/08/2024"
"015076","AL","38.4","0.2","12/08/2024"
"015083","AL","18.7","0.0","12/08/2024"
"015084","AL","2.9","0.0","12/08/2024"
"015089","AL","48.2","10.2","12/08/2024"
"015091","AL","1.4","1.8","12/08/2024"
"015097","AL","0.0","Not Available","12/08/2024"
"015098","AL","63.4","0.0","12/08/2024"
"015100","AL","58.6","0.0","12/08/2024"
"015101","AL","39.1","2.5","12/08/2024"
"015103","AL","0.0","Not Available","12/08/2024"
