"State","5 Stars","4 Stars","3 Stars","2 Stars","1 Star"
AK,0.000-19.333,19.334-37.333,37.334-75.833,75.834-103.333,>103.333
AL,0.000-6.000,6.001-14.667,14.668-23.333,23.334-38.000,>38.000
AR,0.000-30.000,30.001-50.000,50.001-64.000,64.001-85.667,>85.667
AZ,0.000-12.667,12.668-22.667,22.668-35.333,35.334-57.333,>57.333
CA,0.000-36.667,36.668-66.667,66.668-100.000,100.001-160.167,>160.167
CO,0.000-21.333,21.334-42.000,42.001-64.667,64.668-103.500,>103.500
CT,0.000-17.667,17.668-34.000,34.001-49.333,49.334-76.667,>76.667
DC,0.000-30.667,30.668-80.333,80.334-136.000,136.001-212.333,>212.333
DE,0.000-27.333,27.334-47.333,47.334-69.500,69.501-106.000,>106.000
FL,0.000-9.333,9.334-25.333,25.334-42.000,42.001-82.667,>82.667
GA,0.000-6.000,6.001-20.000,20.001-37.333,37.334-72.667,>72.667
GU,0.000-13.333,13.334-34.000,34.001-60.667,60.668-116.000,>116.000
HI,0.000-34.667,34.668-53.333,53.334-81.333,81.334-114.667,>114.667
IA,0.000-7.333,7.334-20.667,20.668-51.333,51.334-109.167,>109.167
ID,0.000-19.667,19.668-40.000,40.001-59.333,59.334-89.333,>89.333
IL,0.000-27.333,27.334-62.000,62.001-112.167,112.168-203.333,>203.333
IN,0.000-11.333,11.334-26.000,26.001-42.667,42.668-77.333,>77.333
KS,0.000-24.000,24.001-42.667,42.668-65.333,65.334-116.667,>116.667
KY,0.000-6.667,6.668-17.333,17.334-31.333,31.334-78.833,>78.833
LA,0.000-16.000,16.001-35.333,35.334-55.333,55.334-112.000,>112.000
MA,0.000-18.000,18.001-42.000,42.001-65.333,65.334-120.750,>120.750
MD,0.000-28.667,28.668-53.333,53.334-84.000,84.001-136.667,>136.667
ME,0.000-16.000,16.001-34.667,34.668-50.667,50.668-75.333,>75.333
MI,0.000-27.333,27.334-52.000,52.001-87.333,87.334-147.833,>147.833
MN,0.000-11.333,11.334-28.667,28.668-50.667,50.668-86.000,>86.000
MO,0.000-23.333,23.334-51.333,51.334-82.667,82.668-152.000,>152.000
MS,0.000-8.667,8.668-20.000,20.001-32.667,32.668-58.333,>58.333
MT,0.000-22.000,22.001-40.667,40.668-56.667,56.668-123.000,>123.000
NC,0.000-6.667,6.668-24.000,24.001-51.500,51.501-113.333,>113.333
ND,0.000-11.333,11.334-22.000,22.001-34.000,34.001-63.333,>63.333
NE,0.000-15.333,15.334-26.667,26.668-40.667,40.668-64.667,>64.667
NH,0.000-6.000,6.001-13.333,13.334-23.333,23.334-38.500,>38.500
NJ,0.000-11.333,11.334-24.000,24.001-38.667,38.668-70.000,>70.000
NM,0.000-53.333,53.334-101.333,101.334-142.667,142.668-230.500,>230.500
NV,0.000-24.000,24.001-42.000,42.001-64.667,64.668-102.000,>102.000
NY,0.000-10.000,10.001-19.333,19.334-30.000,30.001-48.000,>48.000
OH,0.000-15.333,15.334-40.000,40.001-64.667,64.668-109.417,>109.417
OK,0.000-14.667,14.668-36.000,36.001-56.000,56.001-90.000,>90.000
OR,0.000-30.000,30.001-58.667,58.668-86.000,86.001-138.833,>138.833
PA,0.000-7.333,7.334-29.333,29.334-57.333,57.334-112.667,>112.667
PR,0.000-32.000,32.001-66.667,66.668-124.000,124.001-174.333,>174.333
RI,0.000-18.000,18.001-55.333,55.334-96.000,96.001-159.333,>159.333
SC,0.000-8.667,8.668-22.667,22.668-42.000,42.001-67.500,>67.500
SD,0.000-7.333,7.334-17.333,17.334-34.000,34.001-70.417,>70.417
TN,0.000-8.000,8.001-18.667,18.668-34.833,34.834-94.000,>94.000
TX,0.000-20.000,20.001-41.000,41.001-70.667,70.668-142.500,>142.500
UT,0.000-8.000,8.001-30.667,30.668-46.667,46.668-101.333,>101.333
VA,0.000-19.333,19.334-38.000,38.001-67.333,67.334-119.333,>119.333
VT,0.000-2.667,2.668-32.000,32.001-52.667,52.668-136.000,>136.000
WA,0.000-42.667,42.668-77.333,77.334-112.667,112.668-180.667,>180.667
WI,0.000-10.000,10.001-26.667,26.668-48.500,48.501-125.500,>125.500
WV,0.000-38.000,38.001-64.000,64.001-95.333,95.334-153.833,>153.833
WY,0.000-10.000,10.001-28.000,28.001-46.000,46.001-84.667,>84.667
