State,Minimum Wage,Increases Planned
Alabama,$7.25 ,0
Alaska,$11.91 ,0
Arizona,$14.70 ,0
Arkansas,$11.00 ,0
California,$16.50 ,0
Colorado,$14.81 ,0
Connecticut,$16.35 ,0
Delaware,$15.00 ,0
District of Columbia,$17.50 ,0
Florida,$13.00 ,1
Georgia,$7.25 ,0
Guam,$9.25 ,0
Hawaii,$14.00 ,1
Idaho,$7.25 ,0
Illinois,$15.00 ,0
Indiana,$7.25 ,0
Iowa,$7.25 ,0
Kansas,$7.25 ,0
Kentucky,$7.25 ,0
Louisiana,$7.25 ,0
Maine,$14.65 ,0
Maryland,$15.00 ,0
Massachusetts,$15.00 ,0
Michigan,$10.56 ,1
Minnesota,$11.13 ,0
Mississippi,$7.25 ,0
Missouri,$13.75 ,0
Montana,$10.55 ,0
Nebraska,$13.50 ,1
Nevada,$12.00 ,0
New Hampshire,$7.25 ,0
New Jersey,$15.49 ,0
New Mexico,$12.00 ,0
New York,$15.50 ,0
North Carolina,$7.25 ,0
North Dakota,$7.25 ,0
Northern Mariana Islands,$7.25 ,0
Ohio,$10.70 ,0
Oklahoma,$7.25 ,0
Oregon,$14.70 ,0
Pennsylvania,$7.25 ,0
Puerto Rico,$10.50 ,0
Rhode Island,$15.00 ,0
South Carolina,$7.25 ,0
South Dakota,$11.50 ,0
Tennessee,$7.25 ,0
Texas,$7.25 ,0
Utah,$7.25 ,0
Vermont,$14.01 ,0
Virgin Islands,$10.50 ,0
Virginia,$12.41 ,0
Washington,$16.66 ,0
West Virginia,$8.75 ,0
Wisconsin,$7.25 ,0
Wyoming,$7.25 ,0
