ownership_group,state,adjusted_wage,adjusted_wage_bin,reported_nurse_aide_staffing_hours_per_resident_per_day,number_of_substantiated_complaints,overall_rating
For-Profit,AL,16.53518051413821,"[16, 18]",2.58352,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.68476,0,4.0
Government,AL,16.53518051413821,"[16, 18]",3.13302,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.9447,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.99844,1,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",3.00335,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.87569,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.34667,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.93094,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.7711,4,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.59211,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.76764,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.07149,1,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.83894,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",3.05859,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.05918,1,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.42374,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.9585,2,1.0
Non-Profit,AL,16.53518051413821,"[16, 18]",2.49646,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.89377,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.66091,0,3.0
Non-Profit,AL,16.53518051413821,"[16, 18]",2.56251,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.03134,1,1.0
Government,AL,16.53518051413821,"[16, 18]",2.50824,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.17082,11,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.89873,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.73519,0,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.41307,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.69548,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.15466,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.64377,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.91996,2,1.0
Non-Profit,AL,16.53518051413821,"[16, 18]",2.68681,2,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.30876,1,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.23012,1,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.5558,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.95014,1,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.88713,0,2.0
Non-Profit,AL,16.53518051413821,"[16, 18]",2.14438,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.56771,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.24272,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.93482,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.31371,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.36388,2,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.75061,3,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.52822,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.70885,0,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.23196,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.78538,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.97504,7,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.4327,0,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.92842,4,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.54221,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",3.11852,0,5.0
Government,AL,16.53518051413821,"[16, 18]",2.55845,0,5.0
Non-Profit,AL,16.53518051413821,"[16, 18]",2.16134,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.32803,0,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.73181,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.30536,2,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",3.05158,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.16889,0,3.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.86327,1,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",1.19613,0,2.0
Non-Profit,AL,16.53518051413821,"[16, 18]",3.10322,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.74933,3,1.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.6281,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.17997,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.66062,1,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",3.79825,0,4.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.59128,0,5.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.0997,0,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.17904,1,2.0
For-Profit,AL,16.53518051413821,"[16, 18]",2.13826,6,2.0
